iter	Passed	Remaining
0	0	20
1	0	18
2	1	18
3	1	17
4	1	16
5	2	15
6	2	14
7	2	13
8	2	13
9	3	12
10	3	12
11	3	12
12	4	11
13	4	11
14	4	11
15	5	10
16	5	10
17	5	10
18	6	10
19	6	9
20	6	9
21	7	9
22	7	8
23	7	8
24	8	8
25	8	7
26	8	7
27	9	7
28	9	7
29	10	6
30	10	6
31	10	6
32	10	5
33	11	5
34	11	4
35	11	4
36	12	4
37	12	3
38	12	3
39	13	3
40	13	2
41	13	2
42	13	2
43	14	1
44	14	1
45	14	1
46	15	0
47	15	0
48	15	0
49	15	0
