iter	Passed	Remaining
0	0	18
1	0	16
2	0	15
3	1	15
4	1	15
5	2	15
6	2	14
7	2	14
8	3	15
9	3	14
10	4	14
11	4	13
12	4	13
13	4	12
14	5	12
15	5	11
16	5	11
17	5	10
18	6	10
19	6	10
20	7	9
21	7	9
22	8	9
23	8	9
24	8	8
25	9	8
26	9	8
27	9	7
28	10	7
29	10	7
30	11	6
31	11	6
32	12	6
33	12	5
34	12	5
35	12	5
36	13	4
37	13	4
38	13	3
39	14	3
40	14	3
41	14	2
42	14	2
43	15	2
44	15	1
45	16	1
46	16	1
47	16	0
48	17	0
49	17	0
